2025-05-16 20:08:06.912 | INFO     | __main__:main:43 - Voice assistant started. Speak to begin.
2025-05-16 20:08:31.057 | ERROR    | __main__:main:64 - API error: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=20)
2025-05-16 20:08:58.142 | ERROR    | __main__:main:64 - API error: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=20)
2025-05-16 20:09:05.380 | ERROR    | __main__:main:75 - TTS fallback error: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=5)
2025-05-16 20:09:23.860 | INFO     | __main__:main:57 - User input: Thank you.
2025-05-16 20:09:23.876 | INFO     | __main__:main:58 - Assistant response: Thank you for calling Horizon Telecom. My name is Assistant. May I have your name, please? (Stage: Fronter)
2025-05-16 20:09:41.292 | INFO     | __main__:main:57 - User input: 
2025-05-16 20:09:41.292 | INFO     | __main__:main:58 - Assistant response: Sorry, I didn't catch that. Could you repeat? (Stage: Error)
2025-05-16 20:09:55.995 | INFO     | __main__:main:57 - User input: 
2025-05-16 20:09:55.995 | INFO     | __main__:main:58 - Assistant response: Sorry, I didn't catch that. Could you repeat? (Stage: Error)
2025-05-16 20:10:14.332 | INFO     | __main__:main:57 - User input: Thank you.
2025-05-16 20:10:14.332 | INFO     | __main__:main:58 - Assistant response: Hello, you.. How can I assist you with your telecom needs today? (Stage: Verifier)
2025-05-16 20:10:40.195 | ERROR    | __main__:main:64 - API error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /process (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E458C40A90>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2025-05-16 20:10:48.338 | INFO     | __main__:main:79 - Shutting down voice assistant.
2025-05-16 20:16:42.906 | INFO     | __main__:main:27 - Checking FastAPI server health...
2025-05-16 20:16:46.950 | ERROR    | __main__:check_server_health:16 - Server health check failed: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /health (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001ED4CC7B730>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2025-05-16 20:16:46.950 | WARNING  | __main__:main:32 - FastAPI server not responding. Retrying in 2 seconds...
2025-05-16 20:16:53.010 | ERROR    | __main__:check_server_health:16 - Server health check failed: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /health (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001ED4CCE81F0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2025-05-16 20:16:53.010 | WARNING  | __main__:main:32 - FastAPI server not responding. Retrying in 2 seconds...
2025-05-16 20:16:59.086 | ERROR    | __main__:check_server_health:16 - Server health check failed: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /health (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001ED4CC7BB80>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2025-05-16 20:16:59.086 | WARNING  | __main__:main:32 - FastAPI server not responding. Retrying in 2 seconds...
2025-05-16 20:22:03.398 | INFO     | __main__:main:27 - Checking FastAPI server health...
2025-05-16 20:22:05.547 | INFO     | __main__:main:30 - FastAPI server is running.
2025-05-16 20:22:05.550 | INFO     | __main__:main:43 - Voice assistant started. Initiating outbound call flow.
2025-05-16 20:22:30.519 | INFO     | __main__:main:72 - User input: Hi, hello.
2025-05-16 20:22:30.535 | INFO     | __main__:main:73 - Assistant response: I'm sorry, I encountered an issue with the language model. Could you repeat your query? (Stage: Fronter)
2025-05-16 20:22:46.741 | INFO     | __main__:main:72 - User input: 
2025-05-16 20:22:46.741 | INFO     | __main__:main:73 - Assistant response: Sorry, I didn't catch that. Could you repeat? (Stage: Error)
2025-05-16 20:23:02.496 | INFO     | __main__:main:72 - User input: Thank you.
2025-05-16 20:23:02.496 | INFO     | __main__:main:73 - Assistant response: I'm sorry, I encountered an issue with the language model. Could you repeat your query? (Stage: Fronter)
2025-05-16 20:23:18.565 | INFO     | __main__:main:93 - Shutting down voice assistant.
2025-05-16 20:37:06.629 | INFO     | __main__:main:27 - Checking FastAPI server health...
2025-05-16 20:37:08.684 | INFO     | __main__:main:30 - FastAPI server is running.
2025-05-16 20:37:08.684 | INFO     | __main__:main:43 - Voice assistant started. Initiating outbound call flow.
2025-05-16 20:37:13.121 | INFO     | src.audio_handler:play_audio:49 - Playing audio...
2025-05-16 20:37:15.400 | INFO     | src.audio_handler:play_audio:59 - Audio playback completed.
2025-05-16 20:37:15.400 | INFO     | __main__:main:56 - Played initial prompt.
2025-05-16 20:37:15.676 | INFO     | src.audio_handler:capture_audio:21 - Capturing audio...
2025-05-16 20:38:19.596 | INFO     | src.audio_handler:capture_audio:41 - Captured audio length: 2043904 bytes
2025-05-16 20:38:51.656 | ERROR    | __main__:main:79 - API error: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=30)
2025-05-16 20:38:55.034 | INFO     | src.audio_handler:play_audio:49 - Playing audio...
2025-05-16 20:38:56.498 | INFO     | src.audio_handler:play_audio:59 - Audio playback completed.
2025-05-16 20:38:56.795 | INFO     | src.audio_handler:capture_audio:21 - Capturing audio...
2025-05-16 20:39:05.555 | INFO     | src.audio_handler:capture_audio:41 - Captured audio length: 278528 bytes
2025-05-16 20:39:13.303 | INFO     | __main__:main:73 - User input: Hello
2025-05-16 20:39:13.304 | INFO     | __main__:main:74 - Assistant response: I'm sorry, I encountered an issue with the language model. Could you repeat your query? (Stage: Fronter)
2025-05-16 20:39:13.305 | INFO     | src.audio_handler:play_audio:49 - Playing audio...
2025-05-16 20:39:15.290 | INFO     | src.audio_handler:play_audio:59 - Audio playback completed.
2025-05-16 20:39:15.503 | INFO     | src.audio_handler:capture_audio:21 - Capturing audio...
2025-05-16 20:39:21.301 | INFO     | src.audio_handler:capture_audio:41 - Captured audio length: 184320 bytes
2025-05-16 20:39:23.338 | INFO     | __main__:main:94 - Shutting down voice assistant.
2025-05-16 20:46:50.610 | INFO     | __main__:main:27 - Checking FastAPI server health...
2025-05-16 20:46:52.689 | INFO     | __main__:main:30 - FastAPI server is running.
2025-05-16 20:46:52.691 | INFO     | __main__:main:43 - Voice assistant started. Initiating outbound call flow.
2025-05-16 20:46:56.647 | INFO     | src.audio_handler:play_audio:61 - Playing audio...
2025-05-16 20:46:58.617 | INFO     | src.audio_handler:play_audio:71 - Audio playback completed.
2025-05-16 20:46:58.618 | INFO     | __main__:main:56 - Played initial prompt.
2025-05-16 20:46:58.902 | INFO     | src.audio_handler:capture_audio:23 - Capturing audio...
2025-05-16 20:47:08.834 | INFO     | __main__:main:92 - Shutting down voice assistant.
2025-05-16 20:47:13.364 | INFO     | __main__:main:27 - Checking FastAPI server health...
2025-05-16 20:47:17.432 | ERROR    | __main__:check_server_health:16 - Server health check failed: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /health (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001B54A65C7F0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2025-05-16 20:47:17.432 | WARNING  | __main__:main:32 - FastAPI server not responding. Retrying in 2 seconds...
2025-05-16 20:48:02.601 | INFO     | __main__:main:27 - Checking FastAPI server health...
2025-05-16 20:48:04.688 | INFO     | __main__:main:30 - FastAPI server is running.
2025-05-16 20:48:04.689 | INFO     | __main__:main:43 - Voice assistant started. Initiating outbound call flow.
2025-05-16 20:48:09.467 | INFO     | src.audio_handler:play_audio:61 - Playing audio...
2025-05-16 20:48:11.452 | INFO     | src.audio_handler:play_audio:71 - Audio playback completed.
2025-05-16 20:48:11.453 | INFO     | __main__:main:56 - Played initial prompt.
